"","Car_name","fueltypes","aspiration","doornumbers","carbody","drivewheels","cylindernumber","wheelbase","carlength","carwidth","carheight","curbweight","enginesize","boreratio","stroke","compressionratio","horsepower","peakrpm","avg_mpg","price"
"1","alfa-romero",1,1,2,4,2,4,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,34.5,13495
"2","alfa-romero",1,1,2,4,2,4,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,34.5,16500
"3","alfa-romero",1,1,2,1,2,6,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,5000,32,16500
"4","audi",1,1,4,2,1,4,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,39,13950
"5","audi",1,1,4,2,3,5,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,29,17450
"6","audi",1,1,2,2,1,5,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,31.5,15250
"7","audi",1,1,4,2,1,5,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,31.5,17710
"8","audi",1,1,4,3,1,5,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,31.5,18920
"9","audi",1,2,4,2,1,5,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,27,23875
"10","audi",1,2,2,1,3,5,99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,5500,27,17859.167
"11","bmw",1,1,2,2,2,4,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,37.5,16430
"12","bmw",1,1,4,2,2,4,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,37.5,16925
"13","bmw",1,1,2,2,2,6,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,4250,35,20970
"14","bmw",1,1,4,2,2,6,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,4250,35,21105
"15","bmw",1,1,4,2,2,6,103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,4250,32.5,24565
"16","bmw",1,1,4,2,2,6,103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,5400,27,30760
"17","bmw",1,1,2,2,2,6,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,5400,27,41315
"18","bmw",1,1,4,2,2,6,110,197,70.9,56.3,3505,209,3.62,3.39,8,182,5400,25,36880
"19","chevrolet",1,1,2,1,1,3,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,73.5,5151
"20","chevrolet",1,1,2,1,1,4,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,59.5,6295
"21","chevrolet",1,1,4,2,1,4,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,5400,59.5,6575
"22","dodge",1,1,2,1,1,4,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,57.5,5572
"23","dodge",1,1,2,1,1,4,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,50,6377
"24","dodge",1,2,2,1,1,4,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,39,7957
"25","dodge",1,1,4,1,1,4,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,50,6229
"26","dodge",1,1,4,2,1,4,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,50,6692
