"","ID","symboling","name","fueltypes","aspiration","doornumbers","carbody","drivewheels","enginelocation","enginetype","cylindernumber","fuelsystem","wheelbase","carlength","carwidth","carheight","curbweight","enginesize","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price"
"1",1,3,"alfa-romero giulia","gas","std","two","convertible","rwd","front","dohc","four","mpfi",88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,13495
"2",2,3,"alfa-romero stelvio","gas","std","two","convertible","rwd","front","dohc","four","mpfi",88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,16500
"3",3,1,"alfa-romero Quadrifoglio","gas","std","two","hatchback","rwd","front","ohcv","six","mpfi",94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,5000,19,26,16500
"4",4,2,"audi 100 ls","gas","std","four","sedan","fwd","front","ohc","four","mpfi",99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,24,30,13950
"5",5,2,"audi 100ls","gas","std","four","sedan","4wd","front","ohc","five","mpfi",99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,18,22,17450
"6",6,2,"audi fox","gas","std","two","sedan","fwd","front","ohc","five","mpfi",99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,15250
"7",7,1,"audi 100ls","gas","std","four","sedan","fwd","front","ohc","five","mpfi",105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,17710
"8",8,1,"audi 5000","gas","std","four","wagon","fwd","front","ohc","five","mpfi",105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,18920
"9",9,1,"audi 4000","gas","turbo","four","sedan","fwd","front","ohc","five","mpfi",105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,23875
"10",10,0,"audi 5000s (diesel)","gas","turbo","two","hatchback","4wd","front","ohc","five","mpfi",99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,5500,16,22,17859.167
"11",11,2,"bmw 320i","gas","std","two","sedan","rwd","front","ohc","four","mpfi",101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16430
"12",12,0,"bmw 320i","gas","std","four","sedan","rwd","front","ohc","four","mpfi",101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16925
"13",13,0,"bmw x1","gas","std","two","sedan","rwd","front","ohc","six","mpfi",101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,4250,21,28,20970
"14",14,0,"bmw x3","gas","std","four","sedan","rwd","front","ohc","six","mpfi",101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,4250,21,28,21105
"15",15,1,"bmw z4","gas","std","four","sedan","rwd","front","ohc","six","mpfi",103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,4250,20,25,24565
"16",16,0,"bmw x4","gas","std","four","sedan","rwd","front","ohc","six","mpfi",103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,5400,16,22,30760
"17",17,0,"bmw x5","gas","std","two","sedan","rwd","front","ohc","six","mpfi",103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,5400,16,22,41315
"18",18,0,"bmw x3","gas","std","four","sedan","rwd","front","ohc","six","mpfi",110,197,70.9,56.3,3505,209,3.62,3.39,8,182,5400,15,20,36880
"19",19,2,"chevrolet impala","gas","std","two","hatchback","fwd","front","l","three","2bbl",88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,5151
"20",20,1,"chevrolet monte carlo","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43,6295
"21",21,0,"chevrolet vega 2300","gas","std","four","sedan","fwd","front","ohc","four","2bbl",94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43,6575
"22",22,1,"dodge rampage","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,5572
"23",23,1,"dodge challenger se","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,6377
