,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,amenities,price,minimum_nights,number_of_reviews,review_score,room_type,bathroom,geometry,index_right,neighbourhood,"Rate per 100,000 population",area,nearby_attractions_count,nearby_restaurants_count,nearby_amenities_count,nearby_transportaion_count,buildings_density,restaurant_types_score,transportaion_avalibility_score,price_bins
0,1,1,-37.76606,144.97951,2,1.0,1.0,,49.0,5,176,4.504700427486193,2,4,POINT (144.97951 -37.76606),15,moreland,5506.5,0.00521644428250011,251,66,10,11,582,0.9,0.3333333333333333,0
17,1,1,-37.77542,144.96894,2,1.0,1.0,,111.0,3,358,4.868917166895244,0,2,POINT (144.96894 -37.77542),15,moreland,5506.5,0.00521644428250011,423,170,10,2,805,0.9,0.16666666666666666,2
22,1,1,-37.77326,144.95552,2,1.0,1.0,,75.0,3,20,4.979532281128015,2,4,POINT (144.95552 -37.77326),15,moreland,5506.5,0.00521644428250011,373,140,1,3,970,0.9,0.16666666666666666,1
37,1,1,-37.75581,144.96868,4,2.0,2.0,,123.0,4,259,4.752795461646416,0,2,POINT (144.96868 -37.75581),15,moreland,5506.5,0.00521644428250011,152,98,3,8,330,0.9,0.3333333333333333,2
71,1,1,-37.76925,144.95275,2,1.0,1.0,,127.0,2,307,4.857360811170064,0,2,POINT (144.95275 -37.76925),15,moreland,5506.5,0.00521644428250011,262,113,3,5,783,0.9,0.16666666666666666,2
150,1,1,-37.76158,144.97089,3,2.0,2.0,,190.0,4,72,4.838959755459508,0,2,POINT (144.97089 -37.76158),15,moreland,5506.5,0.00521644428250011,219,116,3,7,610,0.9,0.3333333333333333,3
153,1,1,-37.77088,144.97016,2,1.0,1.0,,135.0,3,213,4.820837271017277,0,2,POINT (144.97016 -37.77088),15,moreland,5506.5,0.00521644428250011,340,184,13,9,968,0.9,0.3333333333333333,2
170,1,1,-37.74898,144.96312,16,7.0,10.0,,701.0,3,126,4.79035175104647,0,20,POINT (144.96312 -37.74898),15,moreland,5506.5,0.00521644428250011,117,86,4,2,230,0.9,0.16666666666666666,10
172,1,1,-37.77628,144.96776,4,2.0,2.0,,280.0,1,173,4.944503511914039,0,5,POINT (144.96776 -37.77628),15,moreland,5506.5,0.00521644428250011,433,165,1,2,822,0.9,0.16666666666666666,5
224,1,0,-37.77370559624642,144.9752888224157,2,1.0,2.0,,80.0,1,0,0.0,2,5,POINT (144.9752888224157 -37.77370559624642),15,moreland,5506.5,0.00521644428250011,378,135,5,4,740,0.9,0.16666666666666666,1
237,1,1,-37.77756,144.96076,5,2.0,2.0,,216.0,3,16,4.547703024727192,0,2,POINT (144.96076 -37.77756),15,moreland,5506.5,0.00521644428250011,454,115,21,7,985,1.0,0.3333333333333333,4
241,1,1,-37.77549,144.94862,2,1.0,1.0,,80.0,28,63,4.882749115854222,0,2,POINT (144.94862 -37.77549),15,moreland,5506.5,0.00521644428250011,374,32,9,8,750,0.9,0.3333333333333333,1
270,1,0,-37.7059,144.92506,2,1.0,2.0,,100.0,3,0,0.0,2,2,POINT (144.92506 -37.7059),15,moreland,5506.5,0.00521644428250011,15,3,0,0,142,0.3,0.0,1
298,1,1,-37.75841,144.95131,5,3.0,4.0,,350.0,7,14,4.698379305375778,0,2,POINT (144.95131 -37.75841),15,moreland,5506.5,0.00521644428250011,139,30,3,4,442,0.7,0.16666666666666666,6
323,1,1,-37.75636,144.95696,2,1.0,1.0,,85.0,1,109,4.921663413122261,2,2,POINT (144.95696 -37.75636),15,moreland,5506.5,0.00521644428250011,141,82,1,4,360,0.9,0.16666666666666666,1
336,1,1,-37.7685,144.96817,2,1.0,2.0,,99.0,2,424,4.839504478238281,0,2,POINT (144.96817 -37.7685),15,moreland,5506.5,0.00521644428250011,303,236,0,3,999,0.9,0.16666666666666666,1
367,1,1,-37.72267,144.95971,1,1.0,1.0,,76.0,2,34,4.746455812828876,0,2,POINT (144.95971 -37.72267),15,moreland,5506.5,0.00521644428250011,55,23,11,2,483,0.6,0.3333333333333333,1
405,1,1,-37.75719,144.95088,4,2.0,2.0,,101.0,3,262,4.70892510344618,0,2,POINT (144.95088 -37.75719),15,moreland,5506.5,0.00521644428250011,133,27,2,4,423,0.7,0.16666666666666666,2
485,1,1,-37.72044,144.96969,3,1.0,1.0,,54.0,5,44,4.66063797243064,2,4,POINT (144.96969 -37.72044),15,moreland,5506.5,0.00521644428250011,55,14,3,5,632,0.6,0.16666666666666666,1
486,1,1,-37.72192,144.97158,2,2.0,1.0,,54.0,5,64,4.577352427561637,2,4,POINT (144.97158 -37.72192),15,moreland,5506.5,0.00521644428250011,57,10,0,2,481,0.6,0.16666666666666666,1
519,1,1,-37.74447,144.96421,2,1.0,1.0,,113.0,1,333,4.877913985841572,0,2,POINT (144.96421 -37.74447),15,moreland,5506.5,0.00521644428250011,102,82,33,9,244,0.9,0.5,2
530,1,1,-37.77593,144.95918,4,3.0,3.0,,400.0,5,203,4.96272828032013,0,2,POINT (144.95918 -37.77593),15,moreland,5506.5,0.00521644428250011,433,125,31,9,988,1.0,0.5,7
607,1,1,-37.77044,144.96602,4,2.0,2.0,,95.0,14,91,4.892363826453887,0,5,POINT (144.96602 -37.77044),15,moreland,5506.5,0.00521644428250011,331,243,3,6,1119,0.9,0.16666666666666666,1
610,1,1,-37.77467,144.97338,2,1.0,1.0,,79.0,7,0,0.0,0,2,POINT (144.97338 -37.77467),15,moreland,5506.5,0.00521644428250011,401,126,14,7,612,0.9,0.3333333333333333,1
617,1,1,-37.74632,144.95548,2,1.0,1.0,,120.0,5,3,4.944221522042165,0,2,POINT (144.95548 -37.74632),15,moreland,5506.5,0.00521644428250011,104,17,3,2,83,0.7,0.16666666666666666,2
619,1,0,-37.75173,144.96746,2,1.0,2.0,,160.0,1,0,0.0,3,4,POINT (144.96746 -37.75173),15,moreland,5506.5,0.00521644428250011,130,88,7,2,247,0.9,0.16666666666666666,3
676,1,1,-37.7457,144.97534,2,1.0,1.0,,79.0,28,38,4.896708726417581,0,2,POINT (144.97534 -37.7457),15,moreland,5506.5,0.00521644428250011,95,44,7,9,157,0.7,0.3333333333333333,1
723,1,1,-37.77795,144.9773,10,4.0,5.0,,458.0,1,355,4.819741281978346,0,12,POINT (144.9773 -37.77795),15,moreland,5506.5,0.00521644428250011,427,148,12,10,574,0.9,0.3333333333333333,9
734,1,1,-37.77793,144.97482,2,1.0,1.0,,110.0,2,135,4.9279545596418295,0,2,POINT (144.97482 -37.77793),15,moreland,5506.5,0.00521644428250011,434,126,3,6,553,0.9,0.16666666666666666,2
737,1,1,-37.77188,144.97131,6,3.0,4.0,,450.0,7,4,4.999999999999999,0,8,POINT (144.97131 -37.77188),15,moreland,5506.5,0.00521644428250011,363,144,23,7,812,0.9,0.3333333333333333,8
739,1,1,-37.77597,144.94865,4,2.0,2.0,,250.0,2,36,4.80444420613763,0,5,POINT (144.94865 -37.77597),15,moreland,5506.5,0.00521644428250011,377,33,14,8,758,0.9,0.3333333333333333,4
